fips,state,county,pop
1001,Alabama,Autauga County,55869
1003,Alabama,Baldwin County,223234
1005,Alabama,Barbour County,24686
1007,Alabama,Bibb County,22394
1009,Alabama,Blount County,57826
1011,Alabama,Bullock County,10101
1013,Alabama,Butler County,19448
1015,Alabama,Calhoun County,113605
1017,Alabama,Chambers County,33254
1019,Alabama,Cherokee County,26196
1021,Alabama,Chilton County,44428
1023,Alabama,Choctaw County,12589
1025,Alabama,Clarke County,23622
1027,Alabama,Clay County,13235
1029,Alabama,Cleburne County,14910
1031,Alabama,Coffee County,52342
1033,Alabama,Colbert County,55241
1035,Alabama,Conecuh County,12067
1037,Alabama,Coosa County,10663
1039,Alabama,Covington County,37049
1041,Alabama,Crenshaw County,13772
1043,Alabama,Cullman County,83768
1045,Alabama,Dale County,49172
1047,Alabama,Dallas County,37196
1049,Alabama,DeKalb County,71513
1051,Alabama,Elmore County,81209
1053,Alabama,Escambia County,36633
1055,Alabama,Etowah County,102268
1057,Alabama,Fayette County,16302
1059,Alabama,Franklin County,31362
1061,Alabama,Geneva County,26271
1063,Alabama,Greene County,8111
1065,Alabama,Hale County,14651
1067,Alabama,Henry County,17205
1069,Alabama,Houston County,105882
1071,Alabama,Jackson County,51626
1073,Alabama,Jefferson County,658573
1075,Alabama,Lamar County,13805
1077,Alabama,Lauderdale County,92729
1079,Alabama,Lawrence County,32924
1081,Alabama,Lee County,164542
1083,Alabama,Limestone County,98915
1085,Alabama,Lowndes County,9726
1087,Alabama,Macon County,18068
1089,Alabama,Madison County,372909
1091,Alabama,Marengo County,18863
1093,Alabama,Marion County,29709
1095,Alabama,Marshall County,96774
1097,Alabama,Mobile County,413210
1099,Alabama,Monroe County,20733
1101,Alabama,Montgomery County,226486
1103,Alabama,Morgan County,119679
1105,Alabama,Perry County,8923
1107,Alabama,Pickens County,19930
1109,Alabama,Pike County,33114
1111,Alabama,Randolph County,22722
1113,Alabama,Russell County,57961
1115,Alabama,St. Clair County,89512
1117,Alabama,Shelby County,217702
1119,Alabama,Sumter County,12427
1121,Alabama,Talladega County,79978
1123,Alabama,Tallapoosa County,40367
1125,Alabama,Tuscaloosa County,209355
1127,Alabama,Walker County,63521
1129,Alabama,Washington County,16326
1131,Alabama,Wilcox County,10373
1133,Alabama,Winston County,23629
2013,Alaska,Aleutians East Borough,3337
2016,Alaska,Aleutians West Census Area,5634
2020,Alaska,Anchorage Municipality,288000
2050,Alaska,Bethel Census Area,18386
2060,Alaska,Bristol Bay Borough,836
2068,Alaska,Denali Borough,2097
2070,Alaska,Dillingham Census Area,4916
2090,Alaska,Fairbanks North Star Borough,96849
2100,Alaska,Haines Borough,2530
2105,Alaska,Hoonah-Angoon Census Area,2148
2110,Alaska,Juneau City and Borough,31974
2122,Alaska,Kenai Peninsula Borough,58708
2130,Alaska,Ketchikan Gateway Borough,13901
2150,Alaska,Kodiak Island Borough,12998
2158,Alaska,Kusilvak Census Area,8314
2164,Alaska,Lake and Peninsula Borough,1592
2170,Alaska,Matanuska-Susitna Borough,108317
2180,Alaska,Nome Census Area,10004
2185,Alaska,North Slope Borough,9832
2188,Alaska,Northwest Arctic Borough,7621
2195,Alaska,Petersburg Borough,3266
2198,Alaska,Prince of Wales-Hyder Census Area,6203
2220,Alaska,Sitka City and Borough,8493
2230,Alaska,Skagway Municipality,1183
2240,Alaska,Southeast Fairbanks Census Area,6893
2261,Alaska,Valdez-Cordova Census Area,9202
2275,Alaska,Wrangell City and Borough,2502
2282,Alaska,Yakutat City and Borough,579
2290,Alaska,Yukon-Koyukuk Census Area,5230
4001,Arizona,Apache County,71887
4003,Arizona,Cochise County,125922
4005,Arizona,Coconino County,143476
4007,Arizona,Gila County,54018
4009,Arizona,Graham County,38837
4011,Arizona,Greenlee County,9498
4012,Arizona,La Paz County,21108
4013,Arizona,Maricopa County,4485414
4015,Arizona,Mohave County,212181
4017,Arizona,Navajo County,110924
4019,Arizona,Pima County,1047279
4021,Arizona,Pinal County,462789
4023,Arizona,Santa Cruz County,46498
4025,Arizona,Yavapai County,235099
4027,Arizona,Yuma County,213787
5001,Arkansas,Arkansas County,17486
5003,Arkansas,Ashley County,19657
5005,Arkansas,Baxter County,41932
5007,Arkansas,Benton County,279141
5009,Arkansas,Boone County,37432
5011,Arkansas,Bradley County,10763
1015,Arkansas,Calhoun County,5189
5015,Arkansas,Carroll County,28380
5017,Arkansas,Chicot County,10118
5019,Arkansas,Clark County,22320
1027,Arkansas,Clay County,14551
1029,Arkansas,Cleburne County,24919
5025,Arkansas,Cleveland County,7956
5027,Arkansas,Columbia County,23457
5029,Arkansas,Conway County,20846
5031,Arkansas,Craighead County,110332
5033,Arkansas,Crawford County,63257
5035,Arkansas,Crittenden County,47955
5037,Arkansas,Cross County,16419
1047,Arkansas,Dallas County,7009
5041,Arkansas,Desha County,11361
5043,Arkansas,Drew County,18219
5045,Arkansas,Faulkner County,126007
1059,Arkansas,Franklin County,17715
5049,Arkansas,Fulton County,12477
5051,Arkansas,Garland County,99386
5053,Arkansas,Grant County,18265
1063,Arkansas,Greene County,45325
5057,Arkansas,Hempstead County,21532
5059,Arkansas,Hot Spring County,33771
5061,Arkansas,Howard County,13202
5063,Arkansas,Independence County,37825
5065,Arkansas,Izard County,13629
1071,Arkansas,Jackson County,16719
1073,Arkansas,Jefferson County,66824
5071,Arkansas,Johnson County,26578
5073,Arkansas,Lafayette County,6624
1079,Arkansas,Lawrence County,16406
1081,Arkansas,Lee County,8857
5079,Arkansas,Lincoln County,13024
5081,Arkansas,Little River County,12259
5083,Arkansas,Logan County,21466
5085,Arkansas,Lonoke County,73309
1089,Arkansas,Madison County,16576
1093,Arkansas,Marion County,16694
5091,Arkansas,Miller County,43257
5093,Arkansas,Mississippi County,40651
1099,Arkansas,Monroe County,6701
1101,Arkansas,Montgomery County,8986
5099,Arkansas,Nevada County,8252
5101,Arkansas,Newton County,7753
5103,Arkansas,Ouachita County,23382
1105,Arkansas,Perry County,10455
5107,Arkansas,Phillips County,17782
1109,Arkansas,Pike County,10718
5111,Arkansas,Poinsett County,23528
5113,Arkansas,Polk County,19964
5115,Arkansas,Pope County,64072
5117,Arkansas,Prairie County,8062
5119,Arkansas,Pulaski County,391911
1111,Arkansas,Randolph County,17958
5123,Arkansas,St. Francis County,24994
5125,Arkansas,Saline County,122437
5127,Arkansas,Scott County,10281
5129,Arkansas,Searcy County,7881
5131,Arkansas,Sebastian County,127827
5133,Arkansas,Sevier County,17007
5135,Arkansas,Sharp County,17442
5137,Arkansas,Stone County,12506
5139,Arkansas,Union County,38682
5141,Arkansas,Van Buren County,16545
1129,Arkansas,Washington County,239187
5145,Arkansas,White County,78753
5147,Arkansas,Woodruff County,6320
5149,Arkansas,Yell County,21341
6001,California,Alameda County,1671329
6003,California,Alpine County,1129
6005,California,Amador County,39752
6007,California,Butte County,219186
6009,California,Calaveras County,45905
6011,California,Colusa County,21547
6013,California,Contra Costa County,1153526
6015,California,Del Norte County,27812
6017,California,El Dorado County,192843
6019,California,Fresno County,999101
6021,California,Glenn County,28393
6023,California,Humboldt County,135558
6025,California,Imperial County,181215
6027,California,Inyo County,18039
6029,California,Kern County,900202
6031,California,Kings County,152940
6033,California,Lake County,64386
6035,California,Lassen County,30573
6037,California,Los Angeles County,10039107
6039,California,Madera County,157327
6041,California,Marin County,258826
6043,California,Mariposa County,17203
6045,California,Mendocino County,86749
6047,California,Merced County,277680
6049,California,Modoc County,8841
6051,California,Mono County,14444
6053,California,Monterey County,434061
6055,California,Napa County,137744
5099,California,Nevada County,99755
6059,California,Orange County,3175692
6061,California,Placer County,398329
6063,California,Plumas County,18807
6065,California,Riverside County,2470546
6067,California,Sacramento County,1552058
6069,California,San Benito County,62808
6071,California,San Bernardino County,2180085
6073,California,San Diego County,3338330
6075,California,San Francisco County,881549
