State, Pop ,Abbrv.,gps
Alabama," 4,908,620 ",AL,"Montgomery, AL"
Alaska," 734,002 ",AK,"Juneau, AK"
Arizona," 7,378,490 ",AZ,"Phoenix, AZ"
Arkansas," 3,039,000 ",AR,"Little Rock, AR"
California," 39,937,500 ",CA,"Sacramento, CA"
Colorado," 5,845,530 ",CO,"Denver, CO"
Connecticut," 3,563,080 ",CT,"Hartford, CT"
Delaware," 982,895 ",DE,"Dover, DE"
District of Columbia," 720,687 ",DC,"Washington, DC"
Florida," 21,993,000 ",FL,"Tallahassee, FL"
Georgia," 10,736,100 ",GA,"Atlanta, GA"
Hawaii," 1,412,690 ",HI,"Honolulu, HI"
Idaho," 1,826,160 ",ID,"Boise, ID"
Illinois," 12,659,700 ",IL,"Springfield, IL"
Indiana," 6,745,350 ",IN,"Indianapolis, IN"
Iowa," 3,179,850 ",IA,"Des Moines, IA"
Kansas," 2,910,360 ",KS,"Topeka, KS"
Kentucky," 4,499,690 ",KY,"Frankfort, KY"
Louisiana," 4,645,180 ",LA,"Baton Rouge, LA"
Maine," 1,345,790 ",ME,"Augusta, ME"
Maryland," 6,083,120 ",MD,"Annapolis, MD"
Massachusetts," 6,976,600 ",MA,"Boston, MA"
Michigan," 10,045,000 ",MI,"Lansing, MI"
Minnesota," 5,700,670 ",MN,"St. Paul, MN"
Mississippi," 2,989,260 ",MS,"Jackson, MS"
Missouri," 6,169,270 ",MO,"Jefferson City, MO"
Montana," 1,086,760 ",MT,"Helena, MT"
Nebraska," 1,952,570 ",NE,"Lincoln, NE"
Nevada," 3,139,660 ",NV,"Carson City, NV"
New Hampshire," 1,371,250 ",NH,"Concord, NH"
New Jersey," 8,936,570 ",NJ,"Trenton, NJ"
New Mexico," 2,096,640 ",NM,"Santa Fe, NM"
New York," 19,440,500 ",NY,"Albany, NY"
North Carolina," 10,611,900 ",NC,"Raleigh, NC"
North Dakota," 761,723 ",ND,"Bismarck, ND"
Ohio," 11,747,700 ",OH,"Columbus, OH"
Oklahoma," 3,954,820 ",OK,"Oklahoma City, OK"
Oregon," 4,301,090 ",OR,"Salem, OR"
Pennsylvania," 12,820,900 ",PA,"Harrisburg, PA"
Puerto Rico," 3,032,160 ",PR,"San Juan, PR"
Rhode Island," 1,056,160 ",RI,"Providence, RI"
South Carolina," 5,210,100 ",SC,"Columbia, SC"
South Dakota," 903,027 ",SD,"Pierre, SD"
Tennessee," 6,897,580 ",TN,"Nashville, TN"
Texas," 29,472,300 ",TX,"Austin, TX"
Utah," 3,282,120 ",UT,"Salt Lake City, UT"
Vermont," 628,061 ",VT,"Montpelier, VT"
Virginia," 8,626,210 ",VA,"Richmond, VA"
Washington," 7,797,100 ",WA,"Olympia, WA"
West Virginia," 1,778,070 ",WV,"Charleston, WV"
Wisconsin," 5,851,750 ",WI,"Madison, WI"
Wyoming," 567,025 ",WY,"Cheyenne, WY"
Northern Mariana Islands," 56,800 ",CNMI,"Saipan, CNMI"
Guam," 165,768 ",Guam,"Hagåtña, Guam"
Virgin Islands," 106,977 ",USVI,"Charlotte Amalie, USVI"
