fips,county,state,pop,city
11001,District of Columbia,District of Columbia,705749,"Washington, DC"
24003,Anne Arundel,Maryland,579234,"Annapolis, MD"
24005,Baltimore,Maryland,827370,"Catonsville, MD"
24510,Baltimore city,Maryland,593490,"Baltimore, MD"
24009,Calvert,Maryland,92525,"Prince Frederick, MD"
24017,Charles,Maryland,163257,"Waldorf, MD"
24021,Frederick,Maryland,259547,"Urbana, MD"
24027,Howard,Maryland,325690,"Ellicott City, MD"
24031,Montgomery,Maryland,1050688,"Gaithersburg, MD"
24033,Prince George's,Maryland,909327,"Bowie, MD"
51510,Alexandria city,Virginia,159428,"Old Town Alexandria, VA"
51013,Arlington,Virginia,236842,"Arlington, VA"
51059,Fairfax,Virginia,1147532,"Fairfax, VA"
51600,Fairfax city,Virginia,24019,"Fairfax City, VA"
51610,Falls Church city,Virginia,14617,"Falls Church City, VA"
51630,Fredericksburg city,Virginia,29036,"Fredericksburg, VA"
51107,Loudoun,Virginia,413538,"Sterling, VA"
51683,Manassas city,Virginia,41085,"Manassas City, VA"
51685,Manassas Park city,Virginia,17478,"Manassas Park, VA"
51153,Prince William,Virginia,470335,"Woodbridge, VA"
